%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on February 20, 2026
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %month    %year
   236.037     45.6474    236.05747     45.64532     0      0.04952      0.06390      0.03514         7.59         3.30  7     4  2016
   236.013     45.8645    236.03676     45.86324     0      0.03491      0.04042      0.02941        16.31         3.57  7     4  2016
   236.006     45.9023    236.03241     45.90672     0      0.03335      0.16468      0.00000        14.74         3.49  7     4  2016
   236.019     45.9986    236.06568     45.98877     0      0.02500      0.03147      0.01853         6.87         3.61  7     4  2016
   236.021     46.0081    236.06834     46.00121     0      0.02111      0.03093      0.01128         5.00         3.64  7     4  2016
   236.023     46.0226    236.07012     46.01803     0      0.04238      0.07543      0.00933        10.97         2.99  7     4  2016
   236.023     46.0275    236.06921     46.02701     0      0.03595      0.05512      0.01678        12.26         3.54  7     4  2016
   236.023     46.0324    236.06930     46.03148     0      0.02282      0.03561      0.01003         9.54         3.55  7     4  2016
   236.024     46.0372    236.06925     46.03598     0      0.04430      0.05754      0.03105        12.78         3.52  7     4  2016
   236.024     46.0421    236.06873     46.04046     0      0.04347      0.05822      0.02872        12.91         3.96  7     4  2016
   236.024     46.0470    236.06786     46.04941     0      0.03182      0.04500      0.01864        13.33         3.71  7     4  2016
   236.024     46.0518    236.06730     46.05388     0      0.04175      0.05099      0.03252        13.40         3.50  7     4  2016
   236.023     46.0567    236.06616     46.05832     0      0.03324      0.04517      0.02131        13.17         3.82  7     4  2016
   236.022     46.0614    236.06484     46.06726     0      0.03812      0.05053      0.02572        13.02         3.61  7     4  2016
   236.020     46.0660    236.06389     46.07169     0      0.03504      0.04071      0.02937        12.88         3.39  7     4  2016
   236.018     46.0705    236.06203     46.08057     0      0.04982      0.06269      0.03695        12.50         3.70  7     4  2016
   236.016     46.0750    236.06046     46.08493     0      0.03232      0.04997      0.01468        12.87         3.80  7     4  2016
   236.015     46.0796    236.05964     46.08939     0      0.04939      0.06694      0.03183        13.56         3.53  7     4  2016
   236.012     46.0840    236.05804     46.09375     0      0.03353      0.04517      0.02190        12.99         3.58  7     4  2016
   236.008     46.0927    236.05502     46.10248     0      0.03349      0.04503      0.02196        12.85         3.80  7     4  2016
   236.006     46.0970    236.05338     46.10682     0      0.03351      0.04264      0.02437        13.05         3.88  7     4  2016
   236.004     46.1013    236.05164     46.11208     0      0.04431      0.06158      0.02704        13.97         3.63  7     4  2016
   236.001     46.1057    236.05018     46.11554     0      0.03636      0.05241      0.02031        13.97         3.48  7     4  2016
