%USGS SPCMSC mean beach slope derived from lidar surveys from 2000-2013, dunes from 2010 and 2013 in LMSL, Version 1.1 Compiled 3/29/17 
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
290.034 41.9607 290.014 41.9471 0.0949 0.1664 0.0234 26.7553 4.3480 11 2013
290.030 41.9681 290.009 41.9548 0.0945 0.1780 0.0110 22.8548 4.1620 11 2013
290.025 41.9754 290.004 41.9628 0.0955 0.1804 0.0107 16.4414 4.2277 11 2013
290.019 41.9825 289.999 41.9705 0.0877 0.1303 0.0450 18.9459 5.0557 11 2013
290.014 41.9895 289.994 41.9778 0.0934 0.1475 0.0393 34.5394 4.3905 11 2013
290.008 41.9964 289.992 41.9814 0.0968 0.1639 0.0297 34.7176 4.0621 11 2013
290.002 42.0032 289.984 41.9926 0.1114 0.2015 0.0213 27.9485 3.9730 11 2013
289.996 42.0098 289.982 41.9966 0.0992 0.1606 0.0377 15.0657 4.0314 11 2013
289.990 42.0164 289.976 42.0040 0.1020 0.1732 0.0307 23.3344 4.3137 11 2013
289.984 42.0228 289.973 42.0079 0.1074 0.1834 0.0313 28.3397 4.6754 11 2013
289.978 42.0290 289.965 42.0167 0.1259 0.1926 0.0593 37.3055 5.3052 11 2013
289.971 42.0349 289.959 42.0232 0.1211 0.1736 0.0686 46.6871 4.6002 11 2013
289.964 42.0406 289.952 42.0304 0.1179 0.1712 0.0647 44.6478 4.3105 11 2013
289.957 42.0461 289.949 42.0331 0.1200 0.1693 0.0706 43.1952 4.6933 11 2013
289.950 42.0513 289.942 42.0385 0.1164 0.1625 0.0703 36.4519 4.9230 11 2013
289.943 42.0562 289.934 42.0445 0.1291 0.1953 0.0629 25.8907 5.9153 11 2013
289.935 42.0608 289.929 42.0472 0.1260 0.1872 0.0649 21.4942 6.6081 11 2013
289.928 42.0651 289.921 42.0511 0.1027 0.1532 0.0522 17.3329 6.2986 11 2013
