%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on February 20, 2026
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %month    %year
   235.768     43.6373    235.78714     43.63586     0      0.06273      0.09284      0.03262         8.77         3.17  7     4  2016
   235.769     43.6432    235.78786     43.64032     0      0.06836      0.09512      0.04161         8.81         3.98  7     4  2016
   235.768     43.6491    235.78904     43.64918     0      0.05387      0.07821      0.02953        10.62         3.92  7     4  2016
   235.766     43.6606    235.78972     43.66073     0      0.03119      0.05720      0.00517         7.43         4.95  7     4  2016
   235.772     43.6827    235.79530     43.67608     0      0.05151      0.10011      0.00290         7.29         2.95  7     4  2016
   235.776     43.6930    235.79839     43.68480     0      0.07973      0.11287      0.04660         8.57         5.88  7     4  2016
   235.778     43.6983    235.80111     43.69353     0      0.04969      0.06854      0.03084         9.24         4.63  7     4  2016
   235.780     43.7038    235.80241     43.69791     0      0.03729      0.07368      0.00091         9.89         3.70  7     4  2016
   235.782     43.7093    235.80445     43.70218     0      0.10627      0.16097      0.05158        10.55         2.44  7     4  2016
   235.784     43.7149    235.80648     43.71084     0      0.05896      0.07983      0.03809         9.95         3.91  7     4  2016
   235.787     43.7202    235.80784     43.71517     0      0.07752      0.10557      0.04948        11.56         4.03  7     4  2016
   235.789     43.7253    235.80896     43.71955     0      0.04858      0.08765      0.00951         8.84         3.66  7     4  2016
   235.792     43.7304    235.81033     43.72389     0      0.07474      0.11587      0.03361         9.93         3.84  7     4  2016
   235.792     43.7363    235.81288     43.73359     0      0.05362      0.07378      0.03346         8.43         3.49  7     4  2016
   235.797     43.7528    235.81726     43.75028     0      0.04784      0.06398      0.03170         9.83         3.49  7     4  2016
   235.798     43.7586    235.81834     43.75469     0      0.05479      0.06384      0.04574         9.77         3.54  7     4  2016
   235.799     43.7645    235.82030     43.76336     0      0.04012      0.07186      0.00838         8.36         3.46  7     4  2016
   235.804     43.7813    235.82464     43.78188     0      0.04699      0.08380      0.01018         9.16         3.49  7     4  2016
   235.805     43.7871    235.82601     43.78535     0      0.10036      0.14838      0.05235         7.89         3.59  7     4  2016
   235.806     43.7929    235.82683     43.78979     0      0.02107      0.08791      0.00000         8.33         3.48  7     4  2016
   235.808     43.8045    235.82922     43.80107     0      0.03720      0.05374      0.02066         7.28         3.08  7     4  2016
   235.810     43.8103    235.83029     43.80818     0      0.04445      0.06087      0.02803         8.55         3.74  7     4  2016
   235.811     43.8161    235.83133     43.81259     0      0.05268      0.08690      0.01847         9.45         3.71  7     4  2016
   235.812     43.8219    235.83210     43.81703     0      0.04688      0.08742      0.00634         9.45         3.70  7     4  2016
   235.813     43.8276    235.83407     43.82586     0      0.05375      0.08904      0.01846         8.88         3.66  7     4  2016
   235.814     43.8334    235.83486     43.83030     0      0.04379      0.06161      0.02598         7.28         5.66  7     4  2016
   235.816     43.8507    235.83883     43.85150     0      0.05256      0.07615      0.02897         9.32         3.49  7     4  2016
