%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1519
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   242.494     33.2837    242.52390     33.30217     0      0.03959      0.09506      0.00000        14.11         4.02 3A 1.00     4  2016
   242.498     33.2802    242.52710     33.29858     0      0.05594      0.07570      0.03617        18.22         4.31 3A 1.00     4  2016
   242.501     33.2769    242.53039     33.29500     0      0.04987      0.09115      0.00858         5.54         3.44 3A 1.00     4  2016
   242.505     33.2735    242.53346     33.29139     0      0.04124      0.05321      0.02928         2.88         2.10 3A 1.00     4  2016
   242.508     33.2701    242.53683     33.28776     0      0.04380      0.20066      0.00000        11.81         6.13 3A 1.00     4  2016
   242.512     33.2668    242.53977     33.28403     0      0.06767      0.08376      0.05158        22.00         4.56 3A 1.00     4  2016
   242.515     33.2636    242.54279     33.28035     0      0.04606      0.07665      0.01547         3.57         1.84 3A 1.00     4  2016
   242.519     33.2604    242.54605     33.27668     0      0.04725      0.06511      0.02938        17.69         4.52 3A 1.00     4  2016
   242.523     33.2571    242.54902     33.27294     0      0.04367      0.08432      0.00302         8.74         3.64 3A 1.00     4  2016
   242.526     33.2538    242.55234     33.26938     0      0.05624      0.09571      0.01677        17.99         4.31 3A 1.00     4  2016
   242.529     33.2504    242.55603     33.26493     0      0.12502      0.22752      0.02252         2.04         0.55 3A 1.00     4  2016
   242.533     33.2469    242.55839     33.26197     0      0.12194      0.29445      0.00000         2.24         0.62 3A 1.00     4  2016
   242.536     33.2433    242.56123     33.25818     0      0.02092      0.04437      0.00000         5.26         2.47 3A 1.00     4  2016
   242.539     33.2398    242.56414     33.25441     0      0.02932      0.04733      0.01131        14.31         3.65 3A 1.00     4  2016
   242.543     33.2362    242.56720     33.25076     0      0.02552      0.07289      0.00000         7.75         1.45 3A 1.00     4  2016
   242.546     33.2326    242.57031     33.24696     0      0.03044      0.07433      0.00000         8.84         2.83 3A 1.00     4  2016
   242.549     33.2288    242.57336     33.24326     0      0.03596      0.08139      0.00000        11.90         4.18 3A 1.00     4  2016
   242.552     33.2251    242.57644     33.23951     0      0.04942      0.11420      0.00000        12.31         3.65 3A 1.00     4  2016
   242.555     33.2212    242.57949     33.23582     0      0.02357      0.08783      0.00000         7.92         3.20 3A 1.00     4  2016
   242.558     33.2174    242.58319     33.23146     0      0.02562      0.02970      0.02155         1.88         0.57 3A 1.00     4  2016
   242.561     33.2136    242.58869     33.22481     0      0.07377      0.09134      0.05620         2.89         0.52 3A 1.00     4  2016
   242.564     33.2097    242.59044     33.22256     0      0.04723      0.10977      0.00000         3.12         0.54 3A 1.00     4  2016
   242.566     33.2058    242.59294     33.21874     0      0.03141      0.17193      0.00000         2.74         1.50 3A 1.00     4  2016
   242.570     33.2020    242.59475     33.21560     0      0.01755      0.02660      0.00850         3.49         2.42 3A 1.00     4  2016
   242.583     33.1886    242.60546     33.20468     0      0.01496      0.07602      0.00000         2.92         0.58 1B 0.81     4  2016
   242.587     33.1854    242.60823     33.20207     0      0.12676      0.30315      0.00000         2.03         0.52 3A 1.00     4  2016
   242.591     33.1823    242.61280     33.19711     0      0.06377      0.11810      0.00944        10.00         5.40 3A 1.00     4  2016
   242.595     33.1794    242.61589     33.19334     0      0.04179      0.08017      0.00341        11.27         3.73 3A 1.00     4  2016
   242.599     33.1765    242.61930     33.18991     0      0.11810      0.20721      0.02900        10.97         4.15 6B 1.00     4  2016
   242.603     33.1740    242.62181     33.18696     0      0.11662      0.20134      0.03189         8.98         1.44 6B 0.97     4  2016
   242.607     33.1715    242.62437     33.18409     0      0.13162      0.23432      0.02893         4.28         4.29 6B 1.00     4  2016
   242.611     33.1688    242.62812     33.17966     0      0.11530      0.16250      0.06810         2.40         1.51 6B 0.97     4  2016
   242.615     33.1661    242.63130     33.17605     0      0.11475      0.15927      0.07022         5.97         5.39 6B 1.00     4  2016
   242.619     33.1633    242.63456     33.17249     1      0.61526      0.89392      0.33661         3.33         0.47 1B 0.93     4  2016
   242.623     33.1605    242.63831     33.16806     0      0.11120      0.14922      0.07318         2.82         2.38 6B 1.00     4  2016
   242.626     33.1575    242.64058     33.16499     0      0.08512      0.10498      0.06526         4.08         2.41 6B 1.00     4  2016
