%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1522
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   236.827     38.4681    236.83589     38.47302     0      0.12954      0.18917      0.06991        21.41         3.52 3A 1.00     4  2016
   236.831     38.4649    236.83795     38.46793     2      1.83980          NaN          NaN        29.37        -0.00 1A 0.63     4  2016
   236.834     38.4608    236.84399     38.46598     0      0.06887      0.09444      0.04331         1.61         1.43  4 1.00     4  2016
   236.836     38.4565    236.84841     38.46275     0      0.09875      0.16285      0.03465        29.34         3.91 1A 1.00     4  2016
   236.840     38.4532    236.85300     38.45997     0      0.09388      0.30247      0.00000        10.18         2.81 2A 1.00     4  2016
   236.844     38.4515    236.85650     38.45799     0      0.13920      0.23154      0.04687        29.63         6.76 2A 0.93     4  2016
   236.849     38.4501    236.86007     38.45602     0      0.14520      0.20564      0.08475         5.72         2.61 2A 1.00     4  2016
   236.853     38.4468    236.86694     38.45328     0      0.09566      0.14297      0.04836        20.98         6.06 3A 1.00     4  2016
   236.854     38.4422    236.87149     38.44850     0      0.12386      0.22715      0.02057         1.57         1.46  4 1.00     4  2016
   236.856     38.4375    236.87326     38.44277     0      0.05168      0.06887      0.03450        19.89         5.49  4 1.00     4  2016
   236.861     38.4289    236.87786     38.43670     0      0.08565      0.11230      0.05899        15.99         4.65 3A 1.00     4  2016
   236.864     38.4250    236.87874     38.43248     0      0.10063      0.18720      0.01407        17.99         3.03 3A 1.00     4  2016
   236.867     38.4212    236.88143     38.42895     1      0.44451      0.61916      0.26986        14.48         0.00  5 0.99     4  2016
   236.870     38.4177    236.88388     38.42581     0      0.10893      0.16648      0.05137        24.52         2.90 2A 1.00     4  2016
   236.874     38.4145    236.88561     38.42163     0      0.11476      0.14309      0.08643        26.78         4.60 2A 1.00     4  2016
   236.878     38.4114    236.89129     38.41952     0      0.10673      0.17921      0.03425        12.47         3.57  5 1.00     4  2016
   236.882     38.4081    236.89641     38.41511     0      0.13661      0.22706      0.04616        19.87         3.95 2A 1.00     4  2016
   236.885     38.4044    236.89915     38.41043     0      0.11317      0.19636      0.02997        23.06         5.26 2A 1.00     4  2016
   236.888     38.4005    236.90119     38.40384     0      0.10208      0.14244      0.06173        23.31         5.30 3A 1.00     4  2016
   236.891     38.3966    236.90302     38.39983     0      0.09922      0.19136      0.00707         1.88         1.48 3A 1.00     4  2016
   236.894     38.3928    236.90370     38.39618     0      0.05257      0.06041      0.04473        12.14         5.02 3A 1.00     4  2016
   236.907     38.3775    236.91756     38.38264     0      0.09862      0.16341      0.03384        21.37         4.61 3A 1.00     4  2016
   236.910     38.3736    236.91917     38.37754     0      0.09605      0.19673      0.00000         5.56         2.95 2A 1.00     4  2016
   236.913     38.3697    236.92294     38.37307     0      0.10826      0.15506      0.06146        16.85         3.37 2A 1.00     4  2016
   236.917     38.3608    236.92952     38.36393     0      0.13352      0.21574      0.05130        20.04         4.13 2A 1.00     4  2016
   236.917     38.3559    236.93130     38.35902     0      0.05041      0.07985      0.02097        19.28         2.73 2A 1.00     4  2016
   236.918     38.3510    236.93158     38.35290     0      0.04414      0.14040      0.00000         3.09         1.60 3A 1.00     4  2016
   236.917     38.3461    236.93162     38.34572     0      0.06695      0.12463      0.00928        11.35         2.98 3A 1.00     4  2016
   236.917     38.3412    236.93173     38.33941     0      0.12506      0.22015      0.02996         9.00         1.45 3A 1.00     4  2016
   236.916     38.3364    236.93036     38.33335     0      0.06191      0.08229      0.04153         7.96         5.45 3A 1.00     4  2016
   236.913     38.3320    236.92869     38.32906     0      0.07436      0.13879      0.00994         9.67         4.91 3A 1.00     4  2016
   236.912     38.3275    236.92683     38.32404     0      0.12352      0.14462      0.10243         4.99         1.51 3A 1.00     4  2016
   236.913     38.3227    236.92221     38.32250     0      0.11652      0.19558      0.03745        18.65         0.82 2A 0.82     4  2016
   236.915     38.3182    236.92487     38.31996     0      0.07447      0.18496      0.00000        20.82         2.38 2A 1.00     4  2016
   236.917     38.3138    236.92976     38.31717     0      0.08731      0.22169      0.00000         7.98         2.95 2A 0.98     4  2016
   236.919     38.3094    236.93005     38.31251     0      0.05854      0.18798      0.00000        29.25         3.52 2A 1.00     4  2016
   236.921     38.3051    236.93251     38.30894     2      1.87623          NaN          NaN        11.14        -0.00 2A 0.68     4  2016
   236.923     38.3005    236.93420     38.30710     0      0.10451      0.17241      0.03662        29.36         6.41 2A 1.00     4  2016
   236.926     38.2962    236.93518     38.30400     0      0.12059      0.20411      0.03706        11.98         1.77 3A 0.84     4  2016
   236.929     38.2928    236.93571     38.30266     0      0.11265      0.12194      0.10337        23.92         1.27 6B 0.98     4  2016
   236.933     38.2898    236.93749     38.30176     0      0.09374      0.26591      0.00000        12.45         1.98 2A 1.00     4  2016
   236.938     38.2880    236.94299     38.29923     0      0.13791      0.17314      0.10267         9.55         2.37 6A 1.00     4  2016
   236.952     38.2845    236.94926     38.31057     0      0.02535      0.04498      0.00571         3.98         1.50 3A 1.00     4  2016
   236.956     38.2817    236.95120     38.31151     0      0.01810      0.03860      0.00000         4.65         1.49 3A 1.00     4  2016
   236.968     38.2884    236.97247     38.31130     0      0.07726      0.11461      0.03991         6.10         2.40 3A 1.00     4  2016
   236.973     38.2886    236.97914     38.30823     0      0.08410      0.15101      0.01719        22.60         2.45 2A 0.99     4  2016
   236.978     38.2875    236.98666     38.30347     0      0.09130      0.19932      0.00000        18.54         3.79 3A 1.00     4  2016
   236.982     38.2855    236.99592     38.29693     0      0.07754      0.21568      0.00000        26.23         2.01 2A 0.99     4  2016
   236.986     38.2821    237.00443     38.28548     0      0.10779      0.25289      0.00000        12.18         1.99 2A 0.90     4  2016
   236.988     38.2778    237.01254     38.27598     0      0.13334      0.21290      0.05379         6.66         3.32 2A 1.00     4  2016
   236.989     38.2730    237.02254     38.26891     0      0.13604      0.17651      0.09558         3.00         1.48  4 1.00     4  2016
   236.991     38.2683    237.02708     38.26044     0      0.14110      0.16050      0.12170        17.87         3.74 2A 1.00     4  2016
   236.994     38.2645    237.03165     38.25272     0      0.06219      0.11218      0.01220         6.83         1.99 3A 0.99     4  2016
   236.997     38.2606    237.03067     38.24472     0      0.11117      0.17379      0.04854         2.63         1.51 3A 1.00     4  2016
   236.998     38.2558    237.02912     38.23702     0      0.04350      0.08165      0.00535         9.13         2.71 3A 1.00     4  2016
   236.999     38.2238    237.00803     38.23408     0      0.11648      0.21395      0.01902        30.31         4.35 2A 1.00     4  2016
   237.001     38.2193    237.01227     38.22910     0      0.12947      0.19271      0.06624        13.35         3.03  4 1.00     4  2016
   237.003     38.2153    237.01638     38.22452     2      2.25960          NaN          NaN        30.93         0.00 2A 0.66     4  2016
   237.007     38.2119    237.01903     38.21928     0      0.13358      0.16693      0.10024        22.35         3.25 2A 1.00     4  2016
   237.011     38.2086    237.01953     38.21398     0      0.14487      0.19382      0.09592        27.26         2.07 2A 1.00     4  2016
   237.014     38.2049    237.02671     38.20831     0      0.13316      0.20916      0.05716        18.39         2.40 2A 1.00     4  2016
   237.017     38.2008    237.03012     38.20370     0      0.13843      0.19790      0.07896        26.62         2.07 2A 1.00     4  2016
   237.020     38.1968    237.03350     38.19920     0      0.07400      0.10348      0.04452        22.08         4.33 3A 1.00     4  2016
   237.022     38.1926    237.03458     38.19390     0      0.07483      0.09204      0.05762        26.82         3.83 3A 1.00     4  2016
   237.024     38.1880    237.03500     38.18982     0      0.08051      0.10887      0.05214        18.73         4.70 3A 1.00     4  2016
   237.025     38.1832    237.03516     38.18506     0      0.10770      0.21740      0.00000        12.54         4.47 3A 1.00     4  2016
   237.027     38.1785    237.03619     38.18139     0      0.13438      0.21550      0.05326        14.48         2.93 2A 1.00     4  2016
   237.028     38.1738    237.04115     38.17910     0      0.14612      0.16707      0.12517        14.82         4.28 2A 1.00     4  2016
   237.030     38.1692    237.04641     38.17588     0      0.12823      0.13071      0.12575        16.84         2.33 6A 1.00     4  2016
   237.033     38.1651    237.04721     38.17035     0      0.11886      0.17723      0.06049        25.10         3.09 3A 1.00     4  2016
   237.036     38.1613    237.04998     38.16327     0      0.07355      0.09131      0.05578        21.66         4.98 3A 1.00     4  2016
   237.038     38.1568    237.04994     38.15806     0      0.04238      0.11208      0.00000        20.46         2.56 2A 0.99     4  2016
   237.039     38.1520    237.04990     38.15209     0      0.07119      0.08622      0.05616         9.15         3.36 3A 1.00     4  2016
   237.039     38.1470    237.04856     38.14593     0      0.06147      0.10168      0.02126         8.67         4.11 3A 1.00     4  2016
   237.038     38.1422    237.04782     38.14138     0      0.11659      0.16667      0.06651         5.58         2.05 3A 1.00     4  2016
   237.036     38.1374    237.04610     38.13624     0      0.05573      0.09484      0.01661         8.38         3.89 3A 1.00     4  2016
   237.035     38.1326    237.04475     38.13101     0      0.06347      0.11523      0.01170         5.14         4.82 3A 1.00     4  2016
   237.034     38.1279    237.04312     38.12574     0      0.06951      0.09914      0.03989        29.07         6.60 3A 1.00     4  2016
   237.032     38.1232    237.04164     38.12137     0      0.05626      0.16119      0.00000         7.54         6.78 3A 1.00     4  2016
   237.031     38.1185    237.03977     38.11618     0      0.08738      0.25423      0.00000         2.10         1.46 3A 1.00     4  2016
   237.029     38.1139    237.03800     38.11196     0      0.08341      0.25029      0.00000         1.71         1.45 3A 1.00     4  2016
   237.027     38.1093    237.03647     38.10672     0      0.11601      0.21485      0.01718         3.27         1.50 3A 1.00     4  2016
   237.025     38.1047    237.03438     38.10245     0      0.09330      0.20880      0.00000         2.07         1.49 3A 1.00     4  2016
   237.023     38.1002    237.03211     38.09829     0      0.04460      0.13402      0.00000         7.81         4.37 3A 1.00     4  2016
   237.021     38.0957    237.03062     38.09304     0      0.06109      0.11002      0.01215         7.24         5.02 3A 1.00     4  2016
   237.019     38.0911    237.02845     38.08888     0      0.05960      0.07686      0.04233         9.12         4.90 3A 1.00     4  2016
   237.017     38.0867    237.02647     38.08458     0      0.05137      0.08027      0.02247        10.77         4.85 3A 1.00     4  2016
   237.015     38.0822    237.02479     38.07933     0      0.09264      0.17841      0.00686         4.82         1.51 3A 1.00     4  2016
   237.014     38.0775    237.02282     38.07520     0      0.06013      0.10444      0.01582         8.71         4.17 3A 1.00     4  2016
   237.012     38.0730    237.02072     38.07095     0      0.06518      0.08254      0.04783        18.59         5.88 3A 1.00     4  2016
   237.009     38.0685    237.01873     38.06581     0      0.11054      0.14879      0.07229        19.98         6.08 3A 1.00     4  2016
   237.008     38.0640    237.01695     38.06150     0      0.11343      0.16206      0.06480        21.27         6.78 3A 1.00     4  2016
